Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0402_HandSolder,2,27pF,C1557 
"C10, C11, C14, C3, C4, C5, C8, C9",C_0402_HandSolder,8,100nF,C1525 
"C12, C13, C6, C7",C_0402_HandSolder,4,1uF,C52923 
"D1, D10, D108, D109, D11, D110, D111, D112, D113, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D139, D140, D141, D142, D143, D144, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,46,D_Small,C81598 
J4,FCC 1x10 - JUSHUO AFC01-S10FCA-00,2,Conn_01x10,C262557 
"R1, R2, R5",R_0402_HandSolder,3,1k,C11702 
"R3, R4",R_0402_HandSolder,2,27R,C25100 
R8,R_0402_HandSolder,1,10k,C25744 
U1,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,1,W25Q128JVS,C190862 
U2,SOT-23-3,1,XC6206PxxxMR,C250820 
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040 
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,Crystal_GND24_Small,C284156 
