Designator,Mid X,Mid Y,Rotation,Layer
C1,237.72,-82.2,90,bottom
C10,243.22,-72.6,90,bottom
C11,247.3675,-73.95,180,bottom
C12,243.79,-39.413,270,bottom
C13,249.59,-39.213,90,bottom
C14,259.14,-75.38,90,bottom
C2,237.88,-80.47,0,bottom
C3,237.94,-76.27,0,bottom
C4,237.91,-77.32,0,bottom
C5,249.8,-78.5,180,bottom
C6,249.8,-75.35,180,bottom
C7,249.75,-74.3,180,bottom
C8,248.27,-82.45,270,bottom
C9,237.93,-78.37,0,bottom
D1,43.05,-101.59,0,bottom
D10,215.4796,-101.59,0,bottom
D108,227.15,-101.59,0,bottom
D109,43.05,-98.51,0,bottom
D11,221.3148,-101.59,0,bottom
D110,48.8852,-98.51,0,bottom
D111,54.7204,-98.51,0,bottom
D112,60.5556,-98.51,0,bottom
D113,72.226,-98.51,0,bottom
D115,66.3908,-98.51,0,bottom
D116,203.8092,-98.51,0,bottom
D117,209.6444,-98.51,0,bottom
D118,215.4796,-98.51,0,bottom
D119,221.3148,-98.51,0,bottom
D120,227.15,-98.51,0,bottom
D121,43.05,-58.69,0,bottom
D122,48.8852,-58.69,0,bottom
D123,54.7204,-58.69,0,bottom
D124,60.5556,-58.69,0,bottom
D125,66.3908,-58.69,0,bottom
D126,72.226,-58.69,0,bottom
D127,203.8092,-58.75,0,bottom
D128,209.6444,-58.69,0,bottom
D129,215.4796,-58.69,0,bottom
D130,221.3148,-58.69,0,bottom
D131,227.15,-58.69,0,bottom
D132,238.78,-58.69,0,bottom
D133,43.05,-55.71,0,bottom
D134,48.8852,-55.71,0,bottom
D135,54.7204,-55.71,0,bottom
D136,60.5556,-55.71,0,bottom
D137,66.3908,-55.71,0,bottom
D139,203.8092,-55.71,0,bottom
D140,209.6444,-55.71,0,bottom
D141,215.4796,-55.71,0,bottom
D142,221.3148,-55.71,0,bottom
D143,227.15,-55.71,0,bottom
D144,238.78,-55.71,0,bottom
D2,48.8852,-101.59,0,bottom
D3,54.7204,-101.59,0,bottom
D4,60.5556,-101.59,0,bottom
D5,72.226,-101.59,0,bottom
D6,72.226,-55.71,0,bottom
D7,66.3908,-101.59,0,bottom
D8,203.8092,-101.59,0,bottom
D9,209.6444,-101.59,0,bottom
J4,240.94,-41.38,90,bottom
R1,242.13,-72.49,270,bottom
R2,237.93,-79.42,180,bottom
R3,249.8,-77.4,180,bottom
R4,249.8,-76.4,180,bottom
R5,250.76,-82.05,270,bottom
R8,249.71,-82.05,270,bottom
U1,255.695,-78.4525,90,bottom
U2,246.74,-38.863,0,bottom
U5,243.6,-78.5625,90,bottom
Y1,234.48,-80.34,90,bottom
